location,lat,long,geology,BaselineSST,RCP4.5_2091thru2100_SST,RCP6.0_2091thru2100_SST,RCP8.5_2091thru2100_SST,seasonality
BigIsland,19.014069,-155.121757,Oceanic,25.26206836,25.9648213,26.33615817,27.82636737,1.108092
CentralRedSea,21.096002,39.066775,Continental,28.58740711,29.84543559,30.61488132,31.42976278,2.820241917
Chagos,-4.764585,72.504702,Oceanic,28.48668297,29.44517907,29.84487364,30.8926395,0.449194144
CHAGOS1,-7.432887,72.522234,Oceanic,27.87334991,28.91685017,29.28603098,30.38642567,1.057188902
CHAGOS2,-6.043078,71.432415,Oceanic,28.15361923,29.16039082,29.52179931,30.60625582,0.840602833
CHINA1,16.527982,112.209761,Oceanic,27.24978363,27.91672852,28.26332682,29.3976797,2.567436
CHINA2,19.060928,110.920613,Continental,26.47502625,27.30374369,27.61683502,28.69568431,3.802118273
CHINA3,19.131725,108.48235,Continental,26.06637413,26.98790912,27.0894739,28.40854281,4.19233772
CHINA4,20.664504,117.035225,Oceanic,26.4389061,27.35988948,27.82375158,28.77714361,2.994552182
CHINA5,21.836165,113.425252,Continental,24.96613928,25.97075227,26.28346488,27.22882671,4.097778159
Christmas,-10.548543,105.560172,Oceanic,27.81040543,28.60683081,29.10590981,30.19017673,1.254608697
Chuuk,7.174537,151.717098,Oceanic,28.89255341,29.9024762,30.49281459,31.59877697,0.591124742
Cocos,-12.165643,96.951859,Oceanic,27.59015778,28.54148364,28.89099739,30.03209465,0.900317371
CoralBay,-23.524097,113.362011,Continental,24.32906663,25.3840382,25.79873063,26.78245078,1.904225008
CORALSEA1,-19.415651,159.349313,Oceanic,25.9225708,26.77071253,27.30415242,28.36495717,1.776428015
CORALSEA2,-17.621135,155.760117,Oceanic,26.64074539,27.53261601,28.07445587,29.14916188,1.769525598
CORALSEA3,-17.451121,151.337587,Oceanic,26.53430473,27.42082003,27.91474144,28.98322848,1.897483977
CORALSEA4,-16.261735,149.377304,Oceanic,26.7983979,27.68975252,28.21137397,29.3649102,1.912355765
CORALTRIANGLE1,-7.250923,127.074398,Oceanic,28.29149199,28.98169432,29.49600147,30.60501586,1.513820061
CORALTRIANGLE10,2.874022,127.858477,Oceanic,28.69837038,29.59508961,30.08054506,31.24673349,0.564672038
CORALTRIANGLE11,2.970642,118.194645,Continental,28.91483779,29.7026394,30.10265962,31.09496232,0.600593909
CORALTRIANGLE12,2.995306,131.995852,Oceanic,29.12029556,30.04000406,30.58351679,31.73229583,0.682050197
CORALTRIANGLE13,3.030368,106.59876,Oceanic,28.60678895,29.29831065,29.65335572,30.63612689,1.485129788
CORALTRIANGLE14,3.487304,112.761234,Continental,28.72694615,29.58429669,29.98683474,30.79464228,1.418233591
CORALTRIANGLE15,3.559302,103.824801,Continental,28.53032455,29.27719142,29.6559522,30.64326757,1.202484311
CORALTRIANGLE16,3.899573,108.607046,Oceanic,28.58629053,29.25726233,29.63331087,30.63156246,1.483876629
CORALTRIANGLE17,5.132795,120.943493,Oceanic,28.75852346,29.55395459,29.91750325,31.05200655,0.8220365
CORALTRIANGLE18,5.921964,125.996138,Continental,28.76083109,29.65534759,30.12166123,31.30712697,0.763616674
CORALTRIANGLE19,6.142063,115.759533,Continental,28.59926358,29.41704808,29.6864729,30.70250073,1.424993583
CORALTRIANGLE2,-6.815192,130.843209,Oceanic,28.1368564,28.81473052,29.28479023,30.36577053,1.743112242
CORALTRIANGLE20,6.548574,118.334103,Continental,28.78252174,29.55866386,29.85438911,30.94936464,1.067386129
CORALTRIANGLE21,6.907616,122.711779,Continental,28.80247498,29.64340618,29.97902884,31.09787904,0.832375561
CORALTRIANGLE22,7.374581,112.793013,Oceanic,28.47314049,29.22911837,29.48848396,30.61575332,1.373931341
CORALTRIANGLE23,8.630246,105.765168,Continental,27.86639162,28.53146654,28.83167381,29.92465349,1.846064508
CORALTRIANGLE24,9.420023,100.372138,Continental,28.79110354,29.4117071,29.77322888,30.85989804,1.055315
CORALTRIANGLE25,9.562497,115.003674,Oceanic,28.64264847,29.33435812,29.56226135,30.76704346,1.318280538
CORALTRIANGLE26,9.713874,117.980178,Continental,28.60097494,29.28726568,29.56903982,30.71719834,1.262337447
CORALTRIANGLE28,11.716023,109.495759,Continental,27.16578282,27.80343464,28.11218098,29.18753091,2.1082083
CORALTRIANGLE29,12.094134,101.717022,Continental,28.83312165,29.41175986,29.7555007,30.88346638,1.168728886
CORALTRIANGLE3,-4.903622,135,Continental,28.29182937,29.00788747,29.29411616,30.23953852,1.558369924
