region,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MHI,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,MTMNM,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,NMI,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Palau,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam,Guam
id,CAME010120-1,CAME010120-2,CAME010120-4,CAME010120-5,CAME010120-6,CAME021620-3,CAME021620-7,CAME062020-1,CAME062020-2,CAME0721-16,CAME0721-3,CAME0721-4,CAME0721-5,CAME0811-13-M,CAME0811-20-M,CAME0811-7-M,CAME0811-9-M,CAME0818-9-M,CAME0825-4,CAME0902-2-M,CAME0902-4-M,CAME0902-6-M,CAME090820-1M,CAME091120-1M,CAME091520-1M,CAME0916-11,CAME0916-16,CAME091720-1,CAME091820-1a,CAME092019-11,CAME092019-12,CAME092019-13,CAME092019-23,CAME092019-25,CAME092019-26,CAME092019-28,CAME092019-29,CAME092019-34,CAME092019-35,CAME092019-36,CAME092019-37,CAME092019-44,CAME092019-45,CAME092019-46,CAME092019-48,CAME092019-54,CAME092019-58,CAME092019-59,CAME092019-62,CAME092019-64,CAME092019-65,CAME092019-67,CAME092019-68,CAME092019-69,CAME092019-7,CAME092019-71,CAME092020-1a,CAME092020-1b,CAME0921-1,CAME0921-11,CAME0921-15,CAME0921-2,CAME0921-24,CAME0921-25,CAME0921-26,CAME0921-5,CAME0921-6,CAME0921-8,CAME100,CAME101120-1M,CAME102,CAME102719-12,CAME102719-16,CAME102719-18,CAME102719-3,CAME102719-6,CAME102720-7M_1M,CAME103,CAME104,CAME108,CAME110220-1,CAME110319-4M,CAME110319-6M,CAME110319-7M,CAME111020-1,CAME111020-2,CAME1118-4,CAME1118-5,CAME116,CAME120,CAME13,CAME14,CAME170,CAME175,CAME176,CAME178,CAME18,CAME180,CAME183,CAME204,CAME31,CAME33,CAME39,CAME62,CAME67,CAME68,CAME69,CAME70,CAME71,CAME72,CAME73,CAME79,CAME84,CAME90,CAME91a,CAME93,CAME94,CAME96,CAME97,CAME98,CAME99,SE-14-04-1106,SE-14-04-1107,SE-14-04-139,SE-14-04-245,SE-14-04-247,SE-14-04-248,SE-14-04-395,SE-14-04-467,SE-14-04-468,SE-14-04-703,SE-14-04-704,SE-14-04-705,SE-14-04-706,SE-14-04-707,SE-14-04-708,SE-14-04-709,SE-14-04-802,SE-14-04-803,SE-14-04-804,SE-14-04-805,SE-14-04-806,SE-14-04-850,SE-14-04-852,SE-14-04-853,SE-14-04-854,SE-14-04-855,SE-14-04-892,SE-14-04-893,SE-14-04-894,SE-14-04-895,SE-14-04-896,SE-14-04-897,SE-14-04-935,SE-14-04-936,SE-14-04-938,SE-14-04-939,SE-14-04-940,SE-14-04-941,SE-14-04-942,SE-14-04-943,SE-14-04-944,SE-14-04-945,SE-14-04-1285,SE-14-04-1286,SE-14-04-1287,SE-14-04-1288,SE-14-04-1289,SE-14-04-1290,SE-14-04-1551,SE-14-04-1552,SE-14-04-1553,SE-14-04-1554,SE-14-04-1555,SE-14-04-1556,SE-14-04-1609,SE-14-04-1610,SE-14-04-1611,SE-14-04-1612,SE-14-04-1613,SE-14-04-1614,SE-14-04-1615,SE-14-04-1616,SE-14-04-1617,SE-14-04-1618,SE-14-04-1619,SE-14-04-1620,SE-14-04-1621,SE-14-04-1622,SE-14-04-1763,SE-14-04-1764,SE-14-04-1765,SE-14-04-1766,SE-14-04-1767,SE-14-04-1768,SE-14-04-1769,SE-14-04-1770,SE-14-04-1771,SE-14-04-1772,SE-14-04-1775,SE-14-04-1928,SE-14-04-1929,SE-14-04-1930,SE-14-04-1931,SE-14-04-1932,SE-14-04-1985,SE-14-04-1986,SE-14-04-1987,SE-14-04-1988,SE-14-04-1989,SE-14-04-1990,SE-14-04-1991,SE-14-04-1992,SE-14-04-1993,SE-14-04-1994,SE-14-04-1995,SE-14-04-1996,SE-14-04-2208,SE-14-04-2209,SE-14-04-2211,SE-14-04-2212,SE-14-04-2288,SE-14-04-2289,SE-14-04-2290,SE-14-04-2369,SE-14-04-2370,SE-14-04-2371,SE-14-04-2372,SE-14-04-2373,SE-14-04-2374,SE-14-04-2375,SE-14-04-2376,SE-14-04-2377,SE-14-04-2379,SE-14-04-2380,SE-14-04-2381,SE-14-04-2382,SE-14-04-2383,SE-14-04-2384,SE-14-04-2385,SE-14-04-2386,SE-14-04-2481,SE-14-04-2482,SE-14-04-2483,SE-14-04-2484,SE-14-04-2485,SE-14-04-2486,SE-14-04-2487,SE-14-04-2488,SE-14-04-2489,SE-14-04-2490,SE-14-04-2491,SE-14-04-2492,SE-14-04-2493,SE-14-04-2494,SE-14-04-2495,CM003,CM004,CM006,CM007,CM008,CM009,CM011,CM012,CM013,CM015,CM016,CM017,CM019,CM021,CM022,CM023,CM024,CM026,CM027,CM028,CM029,CM031,CM032,CM033,CM034,CM035,CM036,CM037,CM038,CM039,CM040,CM041,CM042,CM043,CM045,CM046,CM048,CM049,CM050,CM052,CM054,CM058,CM059,CM060,CM062,CM063,CM064,CM065,CM067,CM069,CM070,CM071,CM072,CM073,CM074,CM075,CM079,CM086,CM089,CM091,CM094,CM095,CM100,CM101,CM123,CM124,CM125,CM126,CM127,CM128,CM129,CM130,CM131,CM132,CM133,CMGU001,CMGU002,CMGU005,CMGU006,CMGU007,CMGU008,CMGU009,CMGU010,CMGU011,CMGU013,CMGU014,CMGU015,CMGU016,CMGU017,CMGU018,CMGU019,CMGU020
length,287,298,286,290,299,575,532,300,220,589,420,289,464,308,375,350,454,647,583,632,777,696,720,785,665,662,357,633,794,297,306,286,382,298,316,457,350,337,393,249,297,655,262,396,332,395,359,337,315,281,299,294,308,314,341,526,766,766,262,287,283,257,328,300,323,380,385,361,558.8,691,762,281,284,452,302,387,655,736.6,736.6,749.3,528,350,630,632,477,435,361,359,345,779.217108,596.9,615.95,711.2,609.6,603.25,669.925,458.709446,590.55,609.6,330.2,590.55,698.5,666.75,622.3,355.6,285.75,266.7,254,273.05,317.5,317.5,476.25,370.332,584.2,711.2,584.2,609.6,698.5,660.4,584.2,660.4,480,428,420,410,521,652,595,611,571,617,539,559,392,355,475,365,414,495,559,554,526,506,474,427,260,292,333,436,468,460,295,270,395,382,406,347,305,443,487,412,265,585,519,328,465,307,298,327,410,474,460,377,412,447,700,602,630,628,528,420,364,400,464,415,460,478,526,325,243,241,243,275,247,244,412,270,415,389,420,430,289,262,253,242,447,460,492,461,379,456,381,457,446,363,440,334,394,393,335,284,433,478,480,423,509,286,287,375,285,284,254,293,306,380,249,412,305,278,376,284,544,538,507,620,472,392,373,516,390,282,275,276,278,278,269,402,453,379,489,450,359,408,NA,354,435,402,455,514,460,367,455,418,443,511,350,405,509,522,354,412,529,448,388,430,348,392,375,355,338,326,326,380,369,354,285,288,300,317,318,302,322,387,347,292,379,468,436,500,406,481,440,478,428,410,310,312,300,338,323,235,300,652,400,393,398,315,327,340,343,389,354,511,423,265,260,485,304,420,297,639,224,680,365,496,302,336,536
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,331.937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,241.256,91.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,295.552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,375.038,286.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.707,70.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,110.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,277.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,73.888,109.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,92.36,79.486,NA,NA,NA,NA,NA,NA,NA,NA,NA,118.109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,133.782,NA,NA,NA,NA,NA,NA,NA,NA,NA,88.442,90.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.891,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.209,73.888,NA,NA,NA,NA,NA,NA,NA,NA,NA,85.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112.511,NA,NA,NA,NA,NA,NA,NA,NA,NA,100.756,83.964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,109.153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294.433,64.932,61.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.769,NA,NA,394.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.926,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.203,57.095,NA,NA,312.905,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,267.005,NA,NA,66.051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111.952,59.894,72.209,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.9,NA,NA,96.278,NA,NA,NA,NA,NA,NA,NA,NA,336.415,265.885,61.014,NA,NA,NA,NA,NA,NA,NA,NA,NA,74.448,70.53,NA,NA,97.958,NA,NA,331.377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,274.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
