date,region,site,id,species,length,sex,oto_rad,oto_wt,age,SSTmean,SSTlo
01-Jan-20,MHI,Oahu,CAME010120-1,Caranx_melampygus,287,NA,462.442,0.0096,2,25.84,24.07
01-Jan-20,MHI,Oahu,CAME010120-2,Caranx_melampygus,298,NA,465.556,0.0115,2,25.84,24.07
01-Jan-20,MHI,Oahu,CAME010120-4,Caranx_melampygus,286,NA,480.746,0.0105,2,25.84,24.07
01-Jan-20,MHI,Oahu,CAME010120-5,Caranx_melampygus,290,M,463.247,0.0119,2,25.84,24.07
01-Jan-20,MHI,Oahu,CAME010120-6,Caranx_melampygus,299,NA,391.745,0.0082,2,25.84,24.07
16-Feb-20,MHI,Oahu,CAME021620-3,Caranx_melampygus,575,M,775.521,NA,6,25.86,24.2
16-Feb-20,MHI,Oahu,CAME021620-7,Caranx_melampygus,532,F,654.917,0.032,5,25.91,24.3
20-Jun-20,MHI,Oahu,CAME062020-1,Caranx_melampygus,300,NA,532.019,0.013,2,25.84,24.07
20-Jun-20,MHI,Oahu,CAME062020-2,Caranx_melampygus,220,NA,330.523,0.0076,1,26.19,23.63
21-Jul-19,MHI,Oahu,CAME0721-16,Caranx_melampygus,589,M,872.662,0.0377,7,25.76,24.15
21-Jul-19,MHI,Oahu,CAME0721-3,Caranx_melampygus,420,F,618.426,0.0184,3,25.86,24.25
21-Jul-19,MHI,Oahu,CAME0721-4,Caranx_melampygus,289,M,396.447,0.0107,2,25.84,24.07
21-Jul-19,MHI,Oahu,CAME0721-5,Caranx_melampygus,464,M,789.706,0.0254,4,25.92,24.29
11-Aug-19,MHI,Maui,CAME0811-13-M,Caranx_melampygus,308,M,446.265,0.0134,2,25.84,24.07
11-Aug-19,MHI,Maui,CAME0811-20-M,Caranx_melampygus,375,F,635.886,0.0183,5,25.92,24.3
11-Aug-19,MHI,Maui,CAME0811-7-M,Caranx_melampygus,350,F,626.369,0.0161,3,25.86,24.25
11-Aug-19,MHI,Maui,CAME0811-9-M,Caranx_melampygus,454,F,891.221,0.0275,4,25.92,24.29
18-Aug-19,MHI,Maui,CAME0818-9-M,Caranx_melampygus,647,F,1125.114,0.0459,21,25.47,23.94
25-Aug-19,MHI,Oahu,CAME0825-4,Caranx_melampygus,583,M,852.512,0.0335,7,25.76,24.15
02-Sep-19,MHI,Maui,CAME0902-2-M,Caranx_melampygus,632,F,684.024,0.0276,5,25.92,24.3
02-Sep-19,MHI,Maui,CAME0902-4-M,Caranx_melampygus,777,F,1117.836,0.0516,23,25.49,23.97
02-Sep-19,MHI,Maui,CAME0902-6-M,Caranx_melampygus,696,F,1089.292,0.0457,12,25.59,24.03
08-Sep-20,MHI,Maui,CAME090820-1M,Caranx_melampygus,720,M,1069.698,0.053,13,25.64,24
11-Sep-20,MHI,Maui,CAME091120-1M,Caranx_melampygus,785,F,1134.071,0.083,19,25.59,24
15-Sep-20,MHI,Maui,CAME091520-1M,Caranx_melampygus,665,M,1069.697,0.045,11,25.68,24.01
16-Sep-18,MHI,Oahu,CAME0916-11,Caranx_melampygus,662,M,1261.695,0.07,18,25.52,23.99
16-Sep-18,MHI,Oahu,CAME0916-16,Caranx_melampygus,357,F,635.069,0.014,3,25.86,24.25
17-Sep-20,MHI,Oahu,CAME091720-1,Caranx_melampygus,633,F,915.031,0.043,7,25.76,24.15
18-Sep-20,MHI,Oahu,CAME091820-1a,Caranx_melampygus,794,F,1523.663,0.0879,16,25.62,24.01
20-Sep-19,MHI,Oahu,CAME092019-11,Caranx_melampygus,297,F,525.035,0.0119,2,25.84,24.07
20-Sep-19,MHI,Oahu,CAME092019-12,Caranx_melampygus,306,M,457.637,0.0129,2,25.84,24.07
20-Sep-19,MHI,Oahu,CAME092019-13,Caranx_melampygus,286,M,524.461,0.0109,2,25.84,24.07
20-Sep-19,MHI,Oahu,CAME092019-23,Caranx_melampygus,382,F,770.365,0.0188,5,25.91,24.3
20-Sep-19,MHI,Oahu,CAME092019-25,Caranx_melampygus,298,F,543.681,0.0126,3,25.86,24.25
20-Sep-19,MHI,Oahu,CAME092019-26,Caranx_melampygus,316,F,478.388,0.013,3,25.86,24.25
20-Sep-19,MHI,Oahu,CAME092019-28,Caranx_melampygus,457,M,742.799,0.0223,5,25.91,24.3
20-Sep-19,MHI,Oahu,CAME092019-29,Caranx_melampygus,350,F,733.843,0.0186,5,25.91,24.3
