date,region,site,id,species,length,sex,oto_rad,oto_wt,age,SSTmean,SSTlo
29-Oct-01,Lizard,NA,x246201,Epinephelus_polyphekadion,345,F,1076.016,0.136,4,26.98,24.8
25-Oct-01,Lizard,NA,x254262,Epinephelus_polyphekadion,344,NA,983.648,0.1203,4,26.98,24.8
27-Oct-01,Lizard,NA,x255074,Epinephelus_polyphekadion,580,M,2218.74,0.4737,21,26.78,24.58
02-Nov-02,Lizard,NA,x276152,Epinephelus_polyphekadion,395,F,1419.035,NA,6,27.01,24.83
03-Nov-02,Lizard,NA,x291115,Epinephelus_polyphekadion,408,F,1185.241,0.151,6,27.01,24.83
22-Dec-01,Lizard,NA,RP1087,Epinephelus_polyphekadion,385,M,1469.4,0.2101,9,26.88,24.75
NA,Lizard,NA,A4304,Epinephelus_polyphekadion,383,NA,1317.973,0.2195,9,26.87,24.76
27-Nov-01,Mackay,NA,x247115,Epinephelus_polyphekadion,385,F,1328.794,0.151,8,25.78,23.06
27-Nov-01,Mackay,NA,x247416,Epinephelus_polyphekadion,434,M,1307.421,0.229,8,25.78,23.06
23-Nov-01,Mackay,NA,x250152,Epinephelus_polyphekadion,581,M,2809.591,0.523,30,25.66,22.86
23-Nov-01,Mackay,NA,x250153,Epinephelus_polyphekadion,562,M,3351.085,0.546,33,25.67,22.87
26-Nov-01,Mackay,NA,x256069,Epinephelus_polyphekadion,600,M,2749.025,0.496,31,25.67,22.86
24-Jul-01,Mackay,NA,RP818,Epinephelus_polyphekadion,385,F,957.112,0.1331,5,25.84,23.09
02-Oct-01,Mackay,NA,RP1003,Epinephelus_polyphekadion,497,F,1528.294,0.2477,9,25.76,23.08
01-Oct-01,Mackay,NA,RP1007,Epinephelus_polyphekadion,495,F,1316.92,0.2577,10,25.7,23.05
05-Nov-00,Mackay,NA,RP1588,Epinephelus_polyphekadion,446,F,1495.042,0.203,9,25.68,23.04
29-May-02,Mackay,NA,RP1782,Epinephelus_polyphekadion,613,M,2726.466,0.614,30,25.66,22.87
04-Dec-01,Mackay,NA,RP1797,Epinephelus_polyphekadion,522,F,1485.545,0.2905,11,25.67,23.01
10-Nov-00,Mackay,NA,RP1596,Epinephelus_polyphekadion,456,F,1225.835,0.2138,8,25.74,23.07
06-Nov-00,Mackay,NA,RP1593,Epinephelus_polyphekadion,520,F,2500.421,0.5041,28,25.64,22.85
06-Nov-00,Mackay,NA,RP1595,Epinephelus_polyphekadion,446,F,1305.964,0.1835,8,25.74,23.07
07-Nov-00,Mackay,NA,RP1586,Epinephelus_polyphekadion,475,F,1333.765,NA,7,25.76,23.05
07-Nov-00,Mackay,NA,RP1614,Epinephelus_polyphekadion,445,F,1434.593,0.2099,8,25.74,23.07
07-Nov-00,Mackay,NA,RP1587,Epinephelus_polyphekadion,582,M,2130.647,0.559,28,25.64,22.85
26-Nov-01,Mackay,NA,x256158,Epinephelus_polyphekadion,459,F,1416.637,0.2335,8,25.78,23.06
26-Nov-01,Mackay,NA,x256168,Epinephelus_polyphekadion,450,F,1471.342,0.2265,8,25.78,23.06
22-Nov-01,Mackay,NA,x258061,Epinephelus_polyphekadion,497,F,1312.642,0.2403,8,25.78,23.06
22-Nov-01,Mackay,NA,x258269,Epinephelus_polyphekadion,515,F,2358.933,0.462,28,22.89,22.89
29-Nov-02,Mackay,NA,x280517,Epinephelus_polyphekadion,518,F,1448.216,0.289,10,25.78,23.08
04-Dec-01,Mackay,NA,RP1780,Epinephelus_polyphekadion,521,M,2556.299,0.4973,25,25.66,22.87
22-Mar-02,Mackay,NA,RP1790,Epinephelus_polyphekadion,493,F,1250.722,0.2738,8,25.83,23.06
23-Mar-02,Mackay,NA,RP1791,Epinephelus_polyphekadion,376,F,1066.321,0.1217,5,25.82,23.05
23-Mar-02,Mackay,NA,RP1793,Epinephelus_polyphekadion,391,F,1213.741,0.1804,10,25.78,23.08
26-Jan-01,Mackay,NA,RP1795,Epinephelus_polyphekadion,462,F,1397.048,0.2196,9,25.76,23.08
20-Jul-01,Mackay,NA,RP820,Epinephelus_polyphekadion,409,F,1045.638,0.1655,5,25.84,23.09
16-Jul-01,Mackay,NA,RP846,Epinephelus_polyphekadion,556,F,1613.443,0.4222,16,25.68,22.96
NA,Mackay,NA,CSI274282,Epinephelus_polyphekadion,507,NA,1682.404,0.311,16,25.7,23
03-Dec-01,Pompey,NA,x259430,Epinephelus_polyphekadion,406,F,1099.612,0.154,5,25.67,23
02-Dec-01,Pompey,NA,x269070,Epinephelus_polyphekadion,490,F,1238.546,0.241,8,25.56,22.93
02-Dec-01,Pompey,NA,x269398,Epinephelus_polyphekadion,398,F,1107.923,0.129,6,25.67,23.02
07-Aug-01,Pompey,NA,RP878,Epinephelus_polyphekadion,440,F,1196.986,0.2339,9,25.55,22.95
01-Nov-01,Pompey,NA,RP1008,Epinephelus_polyphekadion,459,M,1487.918,NA,8,25.56,22.93
18-Nov-00,Pompey,NA,RP1592,Epinephelus_polyphekadion,485,F,1333.544,0.198,8,25.52,22.94
18-Nov-00,Pompey,NA,RP1594,Epinephelus_polyphekadion,634,F,2941.401,0.798,33,25.41,22.67
14-Nov-00,Pompey,NA,RP1599,Epinephelus_polyphekadion,502,F,1313.358,0.28,10,25.42,22.85
17-Nov-00,Pompey,NA,RP1613,Epinephelus_polyphekadion,430,F,1358.482,0.236,8,25.52,22.94
15-Jun-02,Pompey,NA,RP1784,Epinephelus_polyphekadion,517,F,1364.42,0.233,10,25.57,22.96
14-Dec-01,Pompey,NA,RP1805,Epinephelus_polyphekadion,391,F,1077.048,0.1229,5,25.67,23
19-Nov-00,Pompey,NA,RP1598,Epinephelus_polyphekadion,408,F,1369.612,0.1896,9,25.45,22.9
19-Nov-00,Pompey,NA,RP1597,Epinephelus_polyphekadion,515,F,1366.288,0.2406,10,25.42,22.85
06-Dec-01,Pompey,NA,x248113,Epinephelus_polyphekadion,628,F,2431.404,0.7028,32,25.43,22.69
04-Dec-01,Pompey,NA,x257655,Epinephelus_polyphekadion,377,F,1240.265,NA,7,25.6,22.92
02-Dec-02,Pompey,NA,x281279,Epinephelus_polyphekadion,372,F,1221.166,0.1324,8,25.62,22.94
01-Dec-02,Pompey,NA,x283033,Epinephelus_polyphekadion,465,F,1130.697,0.1901,7,25.69,23.03
01-Nov-01,Pompey,NA,RP1000,Epinephelus_polyphekadion,465,F,1260.041,0.2155,9,25.55,22.95
12-Oct-01,Pompey,NA,RP1002,Epinephelus_polyphekadion,483,F,1296.626,0.2364,10,25.48,22.91
12-Oct-01,Pompey,NA,RP1010,Epinephelus_polyphekadion,445,F,1206.521,0.1796,9,25.55,22.95
10-Jun-02,Pompey,NA,RP1781,Epinephelus_polyphekadion,405,F,1182.472,0.1495,8,25.62,22.94
18-May-02,Pompey,NA,RP1785,Epinephelus_polyphekadion,439,F,1087.579,0.173,6,25.69,23.02
02-Feb-02,Pompey,NA,RP1792,Epinephelus_polyphekadion,425,F,1152.828,0.1745,5,25.67,23
20-Aug-01,Pompey,NA,RP821,Epinephelus_polyphekadion,466,F,1474.33,0.2277,10,25.48,22.91
05-Aug-01,Pompey,NA,RP886,Epinephelus_polyphekadion,459,F,1269.827,0.2455,10,25.48,22.91
05-Aug-01,Pompey,NA,RP888,Epinephelus_polyphekadion,475,F,1524.267,0.2803,11,25.45,22.86
19-Aug-01,Pompey,NA,RP891,Epinephelus_polyphekadion,491,F,1387.534,0.2402,9,25.55,22.95
17-Aug-01,Pompey,NA,RP892,Epinephelus_polyphekadion,382,F,1022.52,0.1169,7,25.6,22.92
15-Sep-01,Pompey,NA,RP894,Epinephelus_polyphekadion,447,F,978.528,0.1677,6,25.67,23.02
12-Nov-01,Pompey,NA,RP999,Epinephelus_polyphekadion,452,F,1235.347,0.1806,6,25.67,23.02
03-Nov-01,Townsville,NA,x249158,Epinephelus_polyphekadion,424,F,1493.856,0.2,11,26.15,23.65
06-Nov-01,Townsville,NA,x260185,Epinephelus_polyphekadion,450,M,1381.046,0.22,10,26.17,23.67
22-Nov-02,Townsville,NA,x273072,Epinephelus_polyphekadion,265,F,857.363,0.081,4,26.34,23.69
20-Nov-02,Townsville,NA,x285065,Epinephelus_polyphekadion,381,F,1078.236,0.139,5,26.28,23.61
07-Jul-01,Townsville,NA,RP648,Epinephelus_polyphekadion,490,F,1360.857,0.2886,9,26.23,23.76
07-Jul-01,Townsville,NA,RP651,Epinephelus_polyphekadion,428,F,1314.545,NA,11,26.15,23.65
07-Jul-01,Townsville,NA,RP652,Epinephelus_polyphekadion,443,F,1441.607,0.2203,8,26.26,23.76
07-Jul-01,Townsville,NA,RP653,Epinephelus_polyphekadion,415,F,1237.359,NA,9,26.23,23.76
07-Jul-01,Townsville,NA,RP655,Epinephelus_polyphekadion,401,F,1441.608,0.1878,10,26.17,23.67
24-Jul-01,Townsville,NA,RP673,Epinephelus_polyphekadion,505,T,1174.422,0.2504,7,26.3,23.74
24-Jul-01,Townsville,NA,RP675,Epinephelus_polyphekadion,409,F,1201.733,0.1844,9,26.23,23.76
24-Jul-01,Townsville,NA,RP678,Epinephelus_polyphekadion,389,F,1414.295,0.2031,9,26.23,23.76
24-Jul-01,Townsville,NA,RP679,Epinephelus_polyphekadion,286,F,1079.423,0.0966,6,26.34,23.76
04-Aug-01,Townsville,NA,RP746,Epinephelus_polyphekadion,468,F,1473.67,0.2473,10,26.17,23.67
04-Aug-01,Townsville,NA,RP748,Epinephelus_polyphekadion,436,F,1453.482,0.2218,10,26.17,23.67
04-Aug-01,Townsville,NA,RP749,Epinephelus_polyphekadion,428,F,1415.483,0.2366,11,26.15,23.65
