date,year,region,id,species,length,oto_rad,oto_wt,age,SSTmean,SSTlo
16-08-04,2004,Rowley,S12638,Lutjanus_ bohar,401,914.096,NA,6,27.838,25.236225
15-08-04,2004,Rowley,S12630,Lutjanus_ bohar,698,2116.094,NA,38,27.646,25.044225
15-08-04,2004,Rowley,S12632,Lutjanus_ bohar,569,1515.817,NA,22,27.752,25.150225
18-08-04,2004,Rowley,S12644,Lutjanus_ bohar,695,3329.088,NA,71,27.627,25.025225
02-06-97,1996,Rowley,S5781,Lutjanus_ bohar,592,1791.666,0.27277,30,27.591,24.989225
02-06-97,1996,Rowley,S5782,Lutjanus_ bohar,672,3324.094,0.656,79,27.6,24.998225
02-06-97,1996,Rowley,S5783,Lutjanus_ bohar,625,2859.699,0.4966,58,27.574,24.972225
23-05-97,1996,Rowley,S4504,Lutjanus_ bohar,670,1588.641,0.29142,22,27.6,24.998225
23-05-97,1996,Rowley,S4506,Lutjanus_ bohar,653,2682.774,0.45106,42,27.59,24.988225
29-05-97,1996,Rowley,S4521,Lutjanus_ bohar,617,1948.181,0.37233,29,27.602,25.000225
26-05-97,1996,Rowley,S4515,Lutjanus_ bohar,609,2624.891,0.35559,53,27.561,24.959225
29-05-97,1996,Rowley,S4518,Lutjanus_ bohar,658,2834.166,0.50935,55,27.569,24.967225
29-05-97,1996,Rowley,S4519,Lutjanus_ bohar,704,2734.483,0.58379,63,27.593,24.991225
29-05-97,1996,Rowley,S4523,Lutjanus_ bohar,648,2812.29,0.52379,57,27.57,24.968225
30-05-97,1996,Rowley,S4527,Lutjanus_ bohar,663,1853.226,0.38445,47,27.565,24.963225
30-05-97,1996,Rowley,S4528,Lutjanus_ bohar,665,2380.305,0.48925,47,27.565,24.963225
02-06-97,1996,Rowley,S5780,Lutjanus_ bohar,636,2353.904,0.44857,44,27.585,24.983225
29-05-97,1996,Rowley,S4520,Lutjanus_ bohar,724,1866.423,NA,34,27.582,24.980225
19-08-04,2004,Rowley,S12649,Lutjanus_ bohar,771,2619.529,NA,63,27.606,25.004225
18-08-04,2004,Rowley,S12645,Lutjanus_ bohar,595,2041.149,NA,34,27.661,25.059225
19-08-04,2004,Rowley,S12646,Lutjanus_ bohar,660,1756.262,NA,26,27.653,25.051225
19-08-04,2004,Rowley,S12648,Lutjanus_ bohar,682,2428.551,NA,54,27.61,25.008225
19-08-04,2004,Rowley,S12657,Lutjanus_ bohar,411,1022.523,NA,7,27.909,25.307225
20-08-04,2004,Rowley,S12662,Lutjanus_ bohar,640,2261.904,NA,44,27.641,25.039225
21-08-04,2004,Rowley,S12672,Lutjanus_ bohar,591,1784.768,NA,22,27.752,25.150225
20-08-04,2004,Rowley,S12668,Lutjanus_ bohar,604,1379.561,NA,23,27.744,25.142225
19-08-04,2004,Rowley,S12650,Lutjanus_ bohar,589,1486.33,NA,20,27.739,25.137225
21-08-04,2004,Rowley,S12671,Lutjanus_ bohar,745,2016.48,NA,31,27.661,25.059225
09-09-16,2016,Scott,TRIP6550_104,Lutjanus_ bohar,455,1294.995,NA,7,28.796,26.717929
10-09-16,2016,Scott,TRIP6550_113,Lutjanus_ bohar,617,1592.679,0.25336,25,28.6,26.521929
10-06-97,1996,Scott,S5791,Lutjanus_ bohar,586,1848.352,0.27179,25,28.297,26.218929
10-06-97,1996,Scott,S5793,Lutjanus_ bohar,662,1886.617,0.30745,23,28.298,26.219929
11-06-97,1996,Scott,S5794,Lutjanus_ bohar,560,1867.728,0.34968,32,28.246,26.167929
12-06-97,1996,Scott,S5798,Lutjanus_ bohar,737,2449.635,0.42572,46,28.275,26.196929
13-06-97,1996,Scott,S5799,Lutjanus_ bohar,781,3695.684,0.65976,77,28.249,26.170929
16-06-97,1996,Scott,S5805,Lutjanus_ bohar,770,2824.183,0.66508,56,28.251,26.172929
13-06-97,1996,Scott,S5800,Lutjanus_ bohar,746,2280.859,0.5104,44,28.288,26.209929
11-08-04,2004,Scott,S12604,Lutjanus_ bohar,468,1206.554,NA,16,28.507,26.428929
12-08-04,2004,Scott,S12616,Lutjanus_ bohar,619,1537.045,NA,17,28.526,26.447929
08-08-04,2004,Scott,S12589,Lutjanus_ bohar,390,1051.609,NA,8,28.575,26.496929
10-08-04,2004,Scott,S12599,Lutjanus_ bohar,552,1425.185,NA,14,28.496,26.417929
10-08-04,2004,Scott,S12600,Lutjanus_ bohar,503,1319.56,NA,16,28.507,26.428929
10-08-04,2004,Scott,S12601,Lutjanus_ bohar,446,1197.791,NA,13,28.526,26.447929
10-08-04,2004,Scott,S12603,Lutjanus_ bohar,332,987.396,NA,9,28.562,26.483929
11-08-04,2004,Scott,S12605,Lutjanus_ bohar,362,929.991,NA,8,28.575,26.496929
08-08-04,2004,Scott,S12592,Lutjanus_ bohar,433,1123.425,NA,15,28.501,26.422929
11-08-04,2004,Scott,S12610,Lutjanus_ bohar,322,830.464,NA,5,28.496,26.417929
11-08-04,2004,Scott,S12611,Lutjanus_ bohar,400,929.736,NA,6,28.528,26.449929
