date,region,id,species,length,sex,oto_rad,oto_wt,age,SSTmean,SSTlo
02-09-16,Rowley,TRIP6550_3,Lutjanus_ bohar,410,NA,1017.3,0.09323,6,28.137,25.535225
02-09-16,Rowley,TRIP6550_9,Lutjanus_ bohar,255,NA,768.454,0.04004,3,28.258,25.656225
02-09-16,Rowley,TRIP6550_13,Lutjanus_ bohar,645,NA,1664.887,0.28541,21,27.965,25.363225
02-09-16,Rowley,TRIP6550_14,Lutjanus_ bohar,736,NA,2256.889,0.42301,41,27.782,25.180225
05-09-16,Rowley,TRIP6550_35,Lutjanus_ bohar,374,NA,882.393,0.07986,4,28.257,25.655225
05-09-16,Rowley,TRIP6550_45,Lutjanus_ bohar,521,NA,1243.486,0.17135,15,27.999,25.397225
05-09-16,Rowley,TRIP6550_54,Lutjanus_ bohar,352,NA,865.705,0.06971,4,28.257,25.655225
14-08-04,Rowley,S12627,Lutjanus_ bohar,495,M,1265.332,NA,12,27.804,25.202225
14-08-04,Rowley,S12624,Lutjanus_ bohar,695,M,2322.969,NA,45,27.643,25.041225
16-08-04,Rowley,S12637,Lutjanus_ bohar,453,M,1243.519,NA,10,27.855,25.253225
15-08-04,Rowley,S12629,Lutjanus_ bohar,588,F,2297.512,NA,46,27.645,25.043225
15-08-04,Rowley,S12631,Lutjanus_ bohar,348,M,886.374,NA,5,27.8,25.198225
15-08-04,Rowley,S12633,Lutjanus_ bohar,680,M,2069.674,NA,43,27.635,25.033225
15-08-04,Rowley,S12634,Lutjanus_ bohar,672,F,1975.296,NA,40,27.637,25.035225
15-08-04,Rowley,S12635,Lutjanus_ bohar,660,M,1983.181,NA,47,27.641,25.039225
14-08-04,Rowley,S12625,Lutjanus_ bohar,621,M,1864.645,NA,29,27.675,25.073225
16-08-04,Rowley,S12639,Lutjanus_ bohar,618,M,1548.923,NA,23,27.744,25.142225
16-08-04,Rowley,S12640,Lutjanus_ bohar,600,M,1389.375,NA,18,27.783,25.181225
17-08-04,Rowley,S12641,Lutjanus_ bohar,575,M,1413.315,NA,14,27.789,25.187225
17-08-04,Rowley,S12642,Lutjanus_ bohar,588,M,1624.292,NA,16,27.795,25.193225
17-08-04,Rowley,S12643,Lutjanus_ bohar,710,M,2226.22,NA,38,27.646,25.044225
14-08-04,Rowley,S12628,Lutjanus_ bohar,351,M,923.126,NA,7,27.909,25.307225
16-08-04,Rowley,S12636,Lutjanus_ bohar,659,M,1956.294,NA,53,27.617,25.015225
