date,region,id,species,length,sex,oto_rad,oto_wt,age,SSTmean,SSTlo
16-Apr-08,Guam,AC001,Lethrinus_harak,162,F,847.624,0.042,3,28.85,27.55
21-Apr-08,Guam,AC002,Lethrinus_harak,251,F,1264.674,0.094,7,28.86,27.6
21-Apr-08,Guam,AC003,Lethrinus_harak,240,M,1270.02,0.097,7,28.86,27.6
21-Apr-08,Guam,AC004,Lethrinus_harak,215,F,939.106,0.061,4,28.83,27.61
21-Apr-08,Guam,AC005,Lethrinus_harak,209,F,1043.452,0.065,5,28.85,27.55
21-Apr-08,Guam,AC006,Lethrinus_harak,207,F,913.222,0.053,4,28.83,27.61
21-Apr-08,Guam,AC007,Lethrinus_harak,206,F,978.742,0.059,5,28.85,27.55
21-Apr-08,Guam,AC008,Lethrinus_harak,200,F,816.965,0.046,3,28.85,27.55
21-Apr-08,Guam,AC009,Lethrinus_harak,194,F,883.294,0.054,4,28.83,27.61
21-Apr-08,Guam,AC010,Lethrinus_harak,190,F,906.751,0.05,4,28.83,27.61
21-Apr-08,Guam,AC011,Lethrinus_harak,199,F,877.631,0.055,3,28.85,27.55
21-Apr-08,Guam,AC012,Lethrinus_harak,165,F,787.847,0.038,3,28.85,27.55
21-Apr-08,Guam,AC013,Lethrinus_harak,166,F,826.672,0.038,4,28.83,27.61
21-Apr-08,Guam,AC014,Lethrinus_harak,163,F,758.726,0.04,3,28.85,27.55
21-Apr-08,Guam,AC015,Lethrinus_harak,160,F,588.054,0.028,2,28.87,27.63
21-Apr-08,Guam,AC016,Lethrinus_harak,158,F,622.821,0.028,2,28.87,27.63
21-Apr-08,Guam,AC017,Lethrinus_harak,153,F,763.199,0.035,3,28.85,27.55
21-Apr-08,Guam,AC018,Lethrinus_harak,143,F,623.79,0.025,2,28.87,27.63
21-Apr-08,Guam,AC019,Lethrinus_harak,131,F,443.595,0.02,1,28.93,27.46
21-Apr-08,Guam,AC020,Lethrinus_harak,121,F,501.66,0.019,1,28.93,27.46
22-Apr-08,Guam,AC021,Lethrinus_harak,228,F,1089.557,0.082,6,28.84,27.6
22-Apr-08,Guam,AC022,Lethrinus_harak,220,F,920.501,0.068,4,28.83,27.61
22-Apr-08,Guam,AC023,Lethrinus_harak,208,M,807.259,0.054,3,28.85,27.55
22-Apr-08,Guam,AC024,Lethrinus_harak,203,F,858.781,0.056,4,28.83,27.61
22-Apr-08,Guam,AC025,Lethrinus_harak,183,F,851.864,0.053,4,28.83,27.61
22-Apr-08,Guam,AC026,Lethrinus_harak,194,F,793.39,0.05,3,28.85,27.55
22-Apr-08,Guam,AC027,Lethrinus_harak,196,F,815.753,0.045,4,28.83,27.61
22-Apr-08,Guam,AC028,Lethrinus_harak,171,F,768.776,0.043,3,28.85,27.55
22-Apr-08,Guam,AC029,Lethrinus_harak,173,F,636.549,0.037,2,28.87,27.63
22-Apr-08,Guam,AC030,Lethrinus_harak,163,F,828.475,0.036,3,28.85,27.55
22-Apr-08,Guam,AC031,Lethrinus_harak,167,F,651.764,0.041,2,28.87,27.63
22-Apr-08,Guam,AC032,Lethrinus_harak,146,F,581.277,0.027,2,28.87,27.63
22-Apr-08,Guam,AC033,Lethrinus_harak,132,F,489.942,0.02,1,28.93,27.46
22-Apr-08,Guam,AC034,Lethrinus_harak,135,F,595.712,0.024,2,28.87,27.63
22-Apr-08,Guam,AC035,Lethrinus_harak,126,F,436.71,0.017,1,28.93,27.46
22-Apr-08,Guam,AC036,Lethrinus_harak,130,F,425.38,0.018,1,28.93,27.46
22-Apr-08,Guam,AC037,Lethrinus_harak,130,F,441.134,0.021,1,28.93,27.46
22-Apr-08,Guam,AC038,Lethrinus_harak,132,F,486.672,0.02,1,28.93,27.46
22-Apr-08,Guam,AC039,Lethrinus_harak,123,F,455.943,0.017,1,28.93,27.46
22-Apr-08,Guam,AC040,Lethrinus_harak,115,F,448.897,0.017,1,28.93,27.46
22-Apr-08,Guam,AC041,Lethrinus_harak,108,F,415.168,0.015,1,28.93,27.46
22-Apr-08,Guam,AC042,Lethrinus_harak,117,F,453.26,0.017,1,28.93,27.46
23-Apr-08,Guam,AC043,Lethrinus_harak,232,M,1076.179,0.082,5,28.85,27.55
23-Apr-08,Guam,AC044,Lethrinus_harak,225,M,960.137,0.065,5,28.85,27.55
23-Apr-08,Guam,AC045,Lethrinus_harak,213,F,1008.669,0.068,4,28.83,27.61
23-Apr-08,Guam,AC046,Lethrinus_harak,188,F,803.691,0.046,3,28.85,27.55
25-Apr-08,Guam,AC047,Lethrinus_harak,243,F,1251.333,0.096,6,28.84,27.6
25-Apr-08,Guam,AC048,Lethrinus_harak,208,F,933.444,0.058,4,28.83,27.61
25-Apr-08,Guam,AC049,Lethrinus_harak,230,M,1043.452,0.078,5,28.85,27.55
25-Apr-08,Guam,AC050,Lethrinus_harak,209,F,1017.566,0.065,5,28.85,27.55
25-Apr-08,Guam,AC051,Lethrinus_harak,238,F,866.308,0.074,5,28.85,27.55
25-Apr-08,Guam,AC052,Lethrinus_harak,241,F,1155.885,0.098,7,28.86,27.6
25-Apr-08,Guam,AC053,Lethrinus_harak,179,M,829.099,0.043,3,28.85,27.55
25-Apr-08,Guam,AC054,Lethrinus_harak,223,M,1062.864,0.075,5,28.85,27.55
