region,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,CentralRedSea,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Chagos,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Rowley,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott,Scott
id,A1,A2,A3,A4,A5,A6,B1,B2,B3,B4,B5,B6,C1,C2,MN01,MN02,MN03,MN04,MN05,MN06,MN07,MN08,MN09,MN10,MN11,MN12,MN13,MN14,MN15,MN16,MN17,MN18,MN19,MN20,MN21,MN22,MN23,MN24,MN25,MN26,MN27,MN28,MN29,MN30,MN31,MN32,MN33,MN34,MN35,MN36,MN37,MN38,MN39,MN40,MN41,MN42,MN43,MN44,MN45,MN46,MN47,MN48,MN49,R1,R10,R11,R12,R15,R16,R19,R20,R21,R22,R23,R24,R25,R32,R33,R37,R38,R39,R4,R40,R41,R42,R43,R44,R46,R47,R48,R49,R5,R50,R51,R52,R53,R55,R56,R57,R58,R59,R60,R62,R63,R65,R7,R8,S103,S115,S120,S122,S123,S124,S130,S131,S132,S134,S136,S139,S140,S143,S144,S145,S146,S147,S148,S150,S152,S153,S69,S70,S73,S79,S83,S85,S88,S90,S93,S97
length,460,465,420,465,350,450,NA,510,465,385,455,447,415,458,454,495,450,395,472,428,438,432,438,392,450,432,405,440,412,414,534,498,490,354,466,474,467,522,350,471,514,435,428,428,450,460,387,434,454,356,475,510,495,516,510,465,434,549,522,521,536,518,344,580,530,401,375,505,600,464,461,455,522,519,561,426,501,396,560,581,549,550,525,373,550,419,506,522,444,383,379,570,442,372,441,396,408,541,429,330,443,544,461,406,398,437,500,324,326,521,468,360,355,426,245,366,399,266,303,240,510,424,529,517,478,483,496,477,435,375,541,446,430,366,362,507,447,315,256
1963,NA,NA,NA,NA,NA,305.4640135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,142.4532893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,413.2555578,NA,NA,NA,NA,NA,491.6316877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,108.6725912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,161.9810996,NA,NA,NA,NA,NA,134.7062895,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,NA,73.2577751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,103.2011525,NA,NA,NA,NA,NA,103.510968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,62.34348048,NA,NA,NA,NA,NA,NA,NA,350.8160249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.70388836,NA,NA,NA,NA,NA,55.90822768,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,48.30481989,NA,NA,NA,NA,NA,NA,NA,143.2002516,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.22799904,NA,NA,NA,NA,NA,67.90015339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,NA,49.0609051,NA,NA,NA,NA,NA,NA,NA,103.7717889,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.5534524,NA,NA,NA,NA,NA,51.36243509,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,NA,54.1623166,NA,NA,NA,NA,NA,NA,NA,98.36015047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,582.9408293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.78059033,NA,NA,NA,NA,NA,42.9624121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,521.1501491,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,39.028689,NA,NA,NA,NA,NA,NA,NA,87.45933646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,122.3683663,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.20782874,NA,NA,NA,NA,NA,47.23436039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,130.7399131,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,52.29348643,NA,NA,NA,NA,NA,NA,NA,63.34855007,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,101.715897,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.78486677,NA,NA,NA,NA,NA,38.24087641,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,123.3180823,NA,NA,NA,NA,NA,NA,NA,NA
