date,region,id,species,length,sex,oto_rad,oto_wt,age,SSTmean,SSTlo
02-09-16,Rowley,R1,Macolor_niger,580,NA,2520.725,0.42429,47,27.761,25.159225
02-09-16,Rowley,R4,Macolor_niger,550,NA,1498.781,0.26361,27,27.902,25.300225
02-09-16,Rowley,R5,Macolor_niger,570,NA,2127.289,0.35761,32,27.853,25.251225
02-09-16,Rowley,R7,Macolor_niger,437,NA,1009.862,NA,6,28.1,25.498225
02-09-16,Rowley,R8,Macolor_niger,500,NA,1387.478,0.21001,20,27.972,25.370225
02-09-16,Rowley,R10,Macolor_niger,530,NA,1855.508,NA,35,27.847,25.245225
02-09-16,Rowley,R11,Macolor_niger,401,NA,1033.06,0.0929,5,28.171,25.569225
02-09-16,Rowley,R12,Macolor_niger,375,NA,849.925,NA,5,28.171,25.569225
02-09-16,Rowley,R15,Macolor_niger,505,NA,1725.751,0.20856,23,27.945,25.343225
03-09-16,Rowley,R16,Macolor_niger,600,NA,1683.782,0.33354,28,27.901,25.299225
03-09-16,Rowley,R19,Macolor_niger,464,NA,1048.303,NA,8,28.099,25.497225
03-09-16,Rowley,R20,Macolor_niger,461,NA,1001.969,0.14869,7,28.137,25.535225
03-09-16,Rowley,R21,Macolor_niger,455,NA,1348.056,NA,10,28.055,25.453225
03-09-16,Rowley,R22,Macolor_niger,522,NA,1422.124,0.19428,14,28.007,25.405225
03-09-16,Rowley,R23,Macolor_niger,519,NA,1863.792,0.309,28,27.901,25.299225
03-09-16,Rowley,R24,Macolor_niger,561,NA,2408.168,0.4389,36,27.849,25.247225
03-09-16,Rowley,R25,Macolor_niger,426,NA,955.354,NA,6,28.1,25.498225
04-09-16,Rowley,R32,Macolor_niger,501,NA,1064.427,0.1652,14,28.007,25.405225
04-09-16,Rowley,R33,Macolor_niger,396,NA,863.026,NA,6,28.1,25.498225
05-09-16,Rowley,R37,Macolor_niger,560,NA,2262.57,0.43841,53,27.729,25.127225
05-09-16,Rowley,R38,Macolor_niger,581,NA,2058.287,0.30517,38,27.844,25.242225
05-09-16,Rowley,R39,Macolor_niger,549,NA,1604.542,0.22224,21,27.965,25.363225
05-09-16,Rowley,R40,Macolor_niger,525,NA,1706.596,NA,22,27.957,25.355225
05-09-16,Rowley,R41,Macolor_niger,373,NA,809.649,0.08637,4,28.257,25.655225
05-09-16,Rowley,R42,Macolor_niger,550,NA,2343.196,NA,53,27.729,25.127225
05-09-16,Rowley,R43,Macolor_niger,419,NA,840.9,0.11132,6,28.1,25.498225
05-09-16,Rowley,R44,Macolor_niger,506,NA,1330.407,0.19991,17,27.971,25.369225
05-09-16,Rowley,R46,Macolor_niger,522,NA,1868.245,0.34378,34,27.855,25.253225
05-09-16,Rowley,R47,Macolor_niger,444,NA,1060.052,0.12676,10,28.055,25.453225
05-09-16,Rowley,R48,Macolor_niger,383,NA,885.183,0.10115,6,28.1,25.498225
05-09-16,Rowley,R49,Macolor_niger,379,NA,956.599,0.0966,5,28.171,25.569225
05-09-16,Rowley,R50,Macolor_niger,442,NA,1247.628,NA,9,28.071,25.469225
05-09-16,Rowley,R51,Macolor_niger,372,NA,841.431,0.09261,6,28.1,25.498225
05-09-16,Rowley,R52,Macolor_niger,441,NA,964.974,0.13866,9,28.071,25.469225
05-09-16,Rowley,R53,Macolor_niger,396,NA,968.223,0.11254,9,28.071,25.469225
05-09-16,Rowley,R55,Macolor_niger,408,NA,1020.549,0.11853,7,28.137,25.535225
05-09-16,Rowley,R56,Macolor_niger,541,NA,1935.528,0.35079,27,27.902,25.300225
05-09-16,Rowley,R57,Macolor_niger,429,NA,1032,0.1019,6,28.1,25.498225
05-09-16,Rowley,R58,Macolor_niger,330,NA,937.642,0.08168,5,28.171,25.569225
05-09-16,Rowley,R59,Macolor_niger,443,NA,1028.961,0.13867,8,28.099,25.497225
05-09-16,Rowley,R60,Macolor_niger,544,NA,1837.048,0.32263,35,27.847,25.245225
05-09-16,Rowley,R62,Macolor_niger,461,NA,1219.381,0.14539,7,28.137,25.535225
05-09-16,Rowley,R63,Macolor_niger,406,NA,1078.851,0.12006,7,28.137,25.535225
05-09-16,Rowley,R65,Macolor_niger,398,NA,814.22,0.08709,5,28.171,25.569225
07-09-16,Scott,S69,Macolor_niger,375,NA,1090.451,0.09769,5,28.862,26.783929
07-09-16,Scott,S70,Macolor_niger,541,NA,2683.051,0.39548,47,28.438,26.359929
07-09-16,Scott,S73,Macolor_niger,446,NA,1301.085,NA,12,28.679,26.600929
07-09-16,Scott,S79,Macolor_niger,430,NA,979.376,NA,11,28.675,26.596929
07-09-16,Scott,S83,Macolor_niger,366,NA,1176.928,0.15639,9,28.732,26.653929
07-09-16,Scott,S85,Macolor_niger,362,NA,1055.04,0.11359,7,28.796,26.717929
08-09-16,Scott,S88,Macolor_niger,507,NA,2106.22,0.28288,36,28.532,26.453929
08-09-16,Scott,S90,Macolor_niger,447,NA,1561.753,0.19863,18,28.629,26.550929
08-09-16,Scott,S93,Macolor_niger,315,NA,913.08,0.07128,6,28.757,26.678929
08-09-16,Scott,S97,Macolor_niger,256,NA,842.568,NA,2,29.107,27.028929
09-09-16,Scott,S103,Macolor_niger,324,NA,853.005,0.07041,3,28.972,26.893929
10-09-16,Scott,S115,Macolor_niger,326,NA,874.408,0.0754,3,28.972,26.893929
10-09-16,Scott,S120,Macolor_niger,521,NA,1921.514,0.32864,28,28.581,26.502929
10-09-16,Scott,S122,Macolor_niger,468,NA,1249.082,0.20226,12,28.679,26.600929
10-09-16,Scott,S123,Macolor_niger,360,NA,931.077,0.08493,4,28.954,26.875929
10-09-16,Scott,S124,Macolor_niger,355,NA,778.092,0.0925,4,28.954,26.875929
11-09-16,Scott,S130,Macolor_niger,426,NA,923.399,0.12895,6,28.757,26.678929
11-09-16,Scott,S131,Macolor_niger,245,NA,687.641,0.04191,2,29.107,27.028929
11-09-16,Scott,S132,Macolor_niger,366,NA,907.749,NA,5,28.862,26.783929
