date,region,id,species,length,sex,oto_rad,oto_wt,age,SSTmean,SSTlo
01-Nov-07,Guam,NL004,Naso_lituratus,120,NA,208.7591792,0.0017,1,29.01532292,27.91131333
27-Jun-08,Guam,NL100,Naso_lituratus,145,F,243.943469,0.0025,1,29.01532292,27.91131333
30-Aug-08,Guam,NL176,Naso_lituratus,168,F,268.1257744,0.0033,1,29.01532292,27.91131333
14-Nov-07,Guam,NL009,Naso_lituratus,226,NA,370.0260897,0.0073,2,28.97,27.69
21-May-08,Guam,NL070,Naso_lituratus,216,M,386.127648,0.0058,2,28.97,27.69
12-Aug-08,Guam,NL142,Naso_lituratus,229,M,398.4421746,0.006,2,28.97,27.69
17-Aug-08,Guam,NL151,Naso_lituratus,199,M,329.9693774,0.0052,2,28.97,27.69
14-Nov-07,Guam,NL018,Naso_lituratus,222,NA,377.4933768,0.0062,3,28.92,27.72
14-Nov-07,Guam,NL026,Naso_lituratus,236,M,436.6252657,0.0058,3,28.92,27.72
06-May-08,Guam,NL058,Naso_lituratus,188,M,401.4560857,0.0067,3,28.92,27.72
14-May-08,Guam,NL063,Naso_lituratus,220,F,422.9709992,0.0059,3,28.92,27.72
30-Jul-08,Guam,NL111,Naso_lituratus,223,M,464.5573318,0.0068,3,28.92,27.72
12-Aug-08,Guam,NL144,Naso_lituratus,208,F,423.7053378,0.0058,3,28.92,27.72
17-Aug-08,Guam,NL150,Naso_lituratus,223,M,422.3343709,0.0068,3,28.92,27.72
26-Aug-08,Guam,NL154,Naso_lituratus,219,M,416.5780222,0.0057,3,28.92,27.72
26-Aug-08,Guam,NL155,Naso_lituratus,203,M,405.5438035,0.0055,3,28.92,27.72
26-Aug-08,Guam,NL156,Naso_lituratus,183,M,440.1221883,0.0064,3,28.92,27.72
16-Oct-08,Guam,NL239,Naso_lituratus,189,M,444.6339891,0.0062,3,28.92,27.72
07-Feb-09,Guam,NL292,Naso_lituratus,195,M,412.010315,0.0065,3,28.92,27.72
09-May-08,Guam,NL061,Naso_lituratus,200,M,492.0607819,0.0069,4,28.89,27.64
30-Jul-08,Guam,NL110,Naso_lituratus,234,M,465.9509635,0.0071,4,28.89,27.64
12-Aug-08,Guam,NL143,Naso_lituratus,222,M,475.1120647,0.0068,4,28.89,27.64
27-Aug-08,Guam,NL158,Naso_lituratus,200,F,509.6244699,0.0064,4,28.89,27.64
28-Aug-08,Guam,NL165,Naso_lituratus,178,F,475.1639419,0.0064,4,28.89,27.64
10-Sep-08,Guam,NL168,Naso_lituratus,225,M,499.4807249,0.0083,4,28.89,27.64
30-Aug-08,Guam,NL246,Naso_lituratus,238,M,457.553917,0.0071,4,28.89,27.64
07-Feb-09,Guam,NL287,Naso_lituratus,193,M,412.7587562,0.006,4,28.89,27.64
07-Feb-09,Guam,NL290,Naso_lituratus,198,M,431.5433199,0.0058,4,28.89,27.64
27-Mar-09,Guam,NL330,Naso_lituratus,204,M,502.365195,0.0081,4,28.89,27.64
12-Aug-08,Guam,NL145,Naso_lituratus,203,M,457.6687518,0.0057,5,28.87,27.67
28-Aug-08,Guam,NL159,Naso_lituratus,224,M,500.0720236,0.0071,5,28.87,27.67
28-Aug-08,Guam,NL160,Naso_lituratus,244,M,536.1906057,0.0079,5,28.87,27.67
28-Aug-08,Guam,NL162,Naso_lituratus,233,M,524.2432484,0.0076,5,28.87,27.67
16-Oct-08,Guam,NL240,Naso_lituratus,203,M,455.4304796,0.0058,5,28.87,27.67
07-Feb-09,Guam,NL293,Naso_lituratus,208,M,485.8748099,0.0063,5,28.87,27.67
27-Aug-08,Guam,NL157,Naso_lituratus,222,M,497.6010597,0.0077,6,28.88,27.61
07-Feb-09,Guam,NL288,Naso_lituratus,194,M,524.6920109,0.0065,6,28.88,27.61
14-Nov-07,Guam,NL014,Naso_lituratus,245,NA,630.4503742,0.0093,7,28.87,27.64
14-Nov-07,Guam,NL024,Naso_lituratus,213,F,553.7119861,0.008,7,28.87,27.64
28-Aug-08,Guam,NL161,Naso_lituratus,237,M,513.8078833,0.0065,7,28.87,27.64
14-Nov-07,Guam,NL025,Naso_lituratus,230,F,785.9644616,0.0121,10,28.88,27.71
28-Jan-11,Heron,NLH002,Naso_lituratus,225,M,335.9963185,0.0043,2,25.27,22.29
04-Feb-11,Heron,NLH008,Naso_lituratus,224,M,316.2516931,0.0035,2,25.27,22.29
04-Feb-11,Heron,NLH009,Naso_lituratus,220,F,331.0535249,0.005,2,25.27,22.29
04-Feb-11,Heron,NLH010,Naso_lituratus,220,F,335.7392113,0.005,2,25.27,22.29
04-Feb-11,Heron,NLH011,Naso_lituratus,222,M,313.9391252,0.005,2,25.27,22.29
04-Feb-11,Heron,NLH012,Naso_lituratus,224,F,383.3194222,0.0044,2,25.27,22.29
04-Feb-11,Heron,NLH013,Naso_lituratus,221,M,337.4611777,0.0047,2,25.27,22.29
07-Feb-11,Heron,NLH014,Naso_lituratus,217,M,336.6656358,0.0048,2,25.27,22.29
