date,region,site,id,species,length,oto_rad,oto_wt,age,SSTmean,SSTlo
05-Mar-19,Chagos,Peros Banhos,NU01,Naso_unicornis,305,544.953,0.01035,7,28.66,27.81
06-Mar-19,Chagos,Peros Banhos,NU02,Naso_unicornis,426,740.536,0.01827,9,28.64,27.82
06-Mar-19,Chagos,Peros Banhos,NU03,Naso_unicornis,375,596.341,0.01125,7,28.66,27.81
06-Mar-19,Chagos,Peros Banhos,NU04,Naso_unicornis,395,614.087,0.01416,7,28.66,27.81
06-Mar-19,Chagos,Peros Banhos,NU05,Naso_unicornis,394,615.84,0.01311,6,28.67,27.78
06-Mar-19,Chagos,Peros Banhos,NU06,Naso_unicornis,397,863.776,0.01887,12,28.61,27.81
06-Mar-19,Chagos,Peros Banhos,NU07,Naso_unicornis,368,617.201,0.01191,6,28.67,27.78
06-Mar-19,Chagos,Peros Banhos,NU08,Naso_unicornis,415,1092.091,0.02588,18,28.58,27.77
06-Mar-19,Chagos,Peros Banhos,NU09,Naso_unicornis,404,730.943,0.01878,9,28.64,27.82
06-Mar-19,Chagos,Peros Banhos,NU10,Naso_unicornis,384,631.762,0.01379,7,28.66,27.81
06-Mar-19,Chagos,Peros Banhos,NU11,Naso_unicornis,340,477.857,0.01368,5,28.69,27.79
07-Mar-19,Chagos,Peros Banhos,NU12,Naso_unicornis,473,783.215,0.01834,9,28.64,27.82
07-Mar-19,Chagos,Peros Banhos,NU13,Naso_unicornis,498,961.63,0.02618,13,28.61,27.8
07-Mar-19,Chagos,Peros Banhos,NU14,Naso_unicornis,472,895.152,0.02565,12,28.61,27.81
07-Mar-19,Chagos,Peros Banhos,NU15,Naso_unicornis,508,1429.752,0.04244,26,28.5,27.68
07-Mar-19,Chagos,Peros Banhos,NU16,Naso_unicornis,325,479.639,0.01075,4,28.71,27.87
07-Mar-19,Chagos,Peros Banhos,NU17,Naso_unicornis,370,669.605,0.01518,6,28.67,27.78
07-Mar-19,Chagos,Peros Banhos,NU18,Naso_unicornis,415,644.282,0.0128,8,28.63,27.82
07-Mar-19,Chagos,Peros Banhos,NU19,Naso_unicornis,426,595.351,0.01529,8,28.63,27.82
07-Mar-19,Chagos,Peros Banhos,NU20,Naso_unicornis,345,568.989,0.01367,6,28.67,27.78
07-Mar-19,Chagos,Peros Banhos,NU21,Naso_unicornis,384,752.34,0.01425,10,28.63,27.82
07-Mar-19,Chagos,Peros Banhos,NU22,Naso_unicornis,431,1018.52,0.02883,17,28.59,27.77
07-Mar-19,Chagos,Peros Banhos,NU23,Naso_unicornis,359,721.225,0.01948,9,28.64,27.82
07-Mar-19,Chagos,Peros Banhos,NU24,Naso_unicornis,357,577.7,0.013,7,28.66,27.81
