date,year,region,site,id,species,length,sex,oto_rad,oto_wt,age,SSTmean,SSTlo
NA,2010,Guam,Guam,cm_recruit1,Caranx_melampygus,65,NA,118,NA,0,28.87,27.58
NA,2010,MHI,MHI,cm_recruit2,Caranx_melampygus,65,NA,209.6,NA,0,25.58,24.26
NA,2010,MTMNM,MTMNM,cm_recruit3,Caranx_melampygus,65,NA,183.9,NA,0,28.1,25.85
NA,2010,NMI,NMI,cm_recruit4,Caranx_melampygus,65,NA,177.5,NA,0,28.58,26.9
NA,2010,CentralRedSea,NA,cs_recruit1,Chlorurus_sordidus,15,NA,40,NA,0,29.03,26.26
NA,2016,Chagos,NA,cs_recruit2,Chlorurus_sordidus,15,NA,38.8,NA,0,28.58,27.77
NA,2011,Christmas,NA,cs_recruit3,Chlorurus_sordidus,15,NA,42.3,NA,0,27.96,26.63
NA,2011,Cocos,NA,cs_recruit4,Chlorurus_sordidus,15,NA,42.5,NA,0,27.53,26.66
NA,2011,Farasans,NA,cs_recruit5,Chlorurus_sordidus,15,NA,43.8,NA,0,29.53,26.57
NA,2005,Guam,NA,cs_recruit6,Chlorurus_spilurus,15,NA,40.2,NA,0,28.89,27.69
NA,2015,Iriomote,NA,cs_recruit7,Chlorurus_spilurus,15,NA,32.4,NA,0,26.53,23.57
NA,2011,Kanton,NA,cs_recruit8,Chlorurus_spilurus,15,NA,42,NA,0,28.7,28.27
NA,2012,Kavieng,NA,cs_recruit9,Chlorurus_spilurus,15,NA,39.6,NA,0,29.79,29.46
NA,2000,Moorea,NA,cs_recruit10,Chlorurus_spilurus,15,NA,37.3,NA,0,27.78,26.57
NA,2009,Nikumaroro,NA,cs_recruit11,Chlorurus_spilurus,15,NA,42,NA,0,29.22,29.15
NA,2015,Okinawa,NA,cs_recruit12,Chlorurus_spilurus,15,NA,33.8,NA,0,25.44,21.92
NA,2009,Orona,NA,cs_recruit13,Chlorurus_spilurus,15,NA,42,NA,0,29.15,29
NA,2012,Palau,NA,cs_recruit14,Chlorurus_spilurus,15,NA,35.6,NA,0,29.11,28.42
NA,2009,Pohnpei,NA,cs_recruit15,Chlorurus_spilurus,15,NA,37.7,NA,0,29.28,28.67
NA,2013,Rose,NA,cs_recruit16,Chlorurus_spilurus,15,NA,39.9,NA,0,28.72,27.87
NA,2012,Saipan,NA,cs_recruit17,Chlorurus_spilurus,15,NA,37.8,NA,0,28.8,27.45
NA,2013,Savaii,NA,cs_recruit18,Chlorurus_spilurus,15,NA,44.2,NA,0,29.02,28.2
NA,1999,SeyAm,NA,cs_recruit19,Chlorurus_sordidus,15,NA,42.7,NA,0,27.3,25.09
NA,1998,SeyGran,NA,cs_recruit20,Chlorurus_sordidus,15,NA,39.6,NA,0,28.14,26.36
NA,2012,Somalia,NA,cs_recruit21,Chlorurus_sordidus,15,NA,45.8,NA,0,28.38,26.49
NA,2012,Tonga,NA,cs_recruit22,Chlorurus_spilurus,15,NA,39.2,NA,0,25.67,23.88
NA,2013,Tutuila,NA,cs_recruit23,Chlorurus_spilurus,15,NA,37.5,NA,0,28.75,27.89
NA,2013,Upolu,NA,cs_recruit24,Chlorurus_spilurus,15,NA,42.2,NA,0,29,28.2
NA,2009,Yap,NA,cs_recruit25,Chlorurus_spilurus,15,NA,40.1,NA,0,29.05,28.1
NA,2001,Chuuk,NA,ep_recruit1,Epinephelus_polphekadion,35,NA,172.9,NA,0,29.36,28.8
NA,2000,Kavieng,NA,ep_recruit2,Epinephelus_polphekadion,35,NA,191.9,NA,0,29.79,29.46
